"","text","author_id","possibly_sensitive","created_at"
"105","@ecoevoenviro @michaelst1001 @EnvAgency Agree its a calculation that needs to be made. However what we do know is that operating at capacity the Rivenhall incinerator would need 600 ktpa to keep it fed and would rely on importing waste into Essex - every tonne by road. Thats a big loading on that side of the equation.","1619874846",FALSE,"2021-01-05T14:09:08.000Z"
"106","RT @EnvAgencyYNE: Great video of the jack-up barge we have been using for the 2 years as part of a £64m project to improve defences leaving…","83615374",FALSE,"2021-01-05T14:05:04.000Z"
"107","RT @EnvAgencyYNE: Great video of the jack-up barge we have been using for the 2 years as part of a £64m project to improve defences leaving…","911228134434930688",FALSE,"2021-01-05T14:04:42.000Z"
"108","RT @EmmaHowardBoyd: I’m taking part in the @Waterwise #Pledge2021, which launched this week, because individual actions do make a differenc…","1152577504416337920",FALSE,"2021-01-05T14:03:36.000Z"
"109","To drive change ?....looks like from all the #cars in the Video you'll be driving us towards even worse #traffic #congestion #climatechange #ExtremeWeather
@EnvAgencyYNE 
@XRebellionUK 
@parents_4future https://t.co/c99mzCJTPE","2498871378",FALSE,"2021-01-05T14:01:03.000Z"
"110","RT @EnvAgencyYNE: A large jack up barge left the River Hull today after being used for 2 years to install 650m of piling as part of the £62…","229502710",FALSE,"2021-01-05T14:00:22.000Z"
"111","RT @moorsforfuture: A look back on the work achieved in 2019/20 by working in #partnership: 
https://t.co/G0LbUFBoRT
@peakdistrict @Natures…","3828518775",FALSE,"2021-01-05T14:00:05.000Z"
"112","RT @EmmaHowardBoyd: I’m taking part in the @Waterwise #Pledge2021, which launched this week, because individual actions do make a differenc…","838512942",FALSE,"2021-01-05T13:57:09.000Z"
"113","RT @WildStoke: Here's just a small selection of some of the birds being helped by the habitat improvement work being carried out by #Staffs…","764515280672415745",FALSE,"2021-01-05T13:54:00.000Z"
"114","RT @WildStoke: Here's just a small selection of some of the birds being helped by the habitat improvement work being carried out by #Staffs…","2644962097",FALSE,"2021-01-05T13:39:53.000Z"
"115","@metoffice @EnvAgencyMids It's a Pollock video. <U+0001F913>","14194387",FALSE,"2021-01-05T13:39:22.000Z"
"116","RT @EnvAgencySE: Before-and-after photos of two #Hampshire streams show why we keep them debris-free for the weather we've had, reducing #f…","225106749",FALSE,"2021-01-05T13:09:10.000Z"
"117","RT @EmmaHowardBoyd: In our joint #NewYear2021 message, <U+2066>@TonyJuniper<U+2069> @NaturalEngland @WilliamWorsley @ForestryEngland &amp; I say: this must b…","225106749",FALSE,"2021-01-05T13:08:58.000Z"
"118","@deepredfish @EnvAgencyMids @SoTCityCouncil @NewsNBC It's a Willow Tit. The woodland management work undertaken by Sunrise has provided potential new nesting habitat for them.","1296528478548963333",FALSE,"2021-01-05T13:06:01.000Z"
"119","RT @WildStoke: Here's just a small selection of some of the birds being helped by the habitat improvement work being carried out by #Staffs…","127463990",FALSE,"2021-01-05T13:03:48.000Z"
"120","@JamesAbbott2013 @michaelst1001 @EnvAgency How does the incinerator footprint compare to alternative waste management? For example lifetime of landfill or export as much of Southern UK metal and 
plastic  waste ends up on ships","2797912746",FALSE,"2021-01-05T13:03:08.000Z"
"121","Wow! This is the moment a jack-up barge squeezed through North Bridge on the River Hull in an Environment Agency-led project to improve flood defences in the city @EnvAgency #Hull https://t.co/PaTQaYIeAK","474835281",FALSE,"2021-01-05T13:01:12.000Z"
"122","RT @EnvAgencyYNE: A large jack up barge left the River Hull today after being used for 2 years to install 650m of piling as part of the £62…","35230486",FALSE,"2021-01-05T12:58:56.000Z"
"123","RT @EnvAgencyYNE: A large jack up barge left the River Hull today after being used for 2 years to install 650m of piling as part of the £62…","994558022721638402",FALSE,"2021-01-05T12:57:25.000Z"
"124","@JamesMason_78 @Welcome2Yorks @BelgianWaffling @StNicksFields @yorkgin @EnvAgencyYNE","4788773363",FALSE,"2021-01-05T12:54:35.000Z"
"125","RT @EnvAgencyYNE: A large jack up barge left the River Hull today after being used for 2 years to install 650m of piling as part of the £62…","766553708",FALSE,"2021-01-05T12:53:12.000Z"
"126","RT @EnvAgencyYNE: A large jack up barge left the River Hull today after being used for 2 years to install 650m of piling as part of the £62…","2154669440",FALSE,"2021-01-05T12:53:12.000Z"
"127","RT @E17Wetlands: North side of site closed whilst emergency tree felling works are carried out by @EnvAgency at Maynard entrance. South sid…","1085728848",FALSE,"2021-01-05T12:51:13.000Z"
"128","RT @TheFloodHub: Planning permission for phases 1 &amp; 2 of the #Preston &amp; South Ribble flood scheme has now been submitted to the Local Autho…","303999750",FALSE,"2021-01-05T12:49:14.000Z"
"129","RT @SDSWater: Great news that @HighwaysEngland @EnvAgency are looking at the impact of #microplastics in road #runoff on the surrounding en…","892728603808583681",FALSE,"2021-01-05T12:42:59.000Z"
